科修达有限公司,万科企业股份有限公司
湘潭电化科技股份有限公司,湘潭振湘国有资产经营投资有限公司
湘潭电化科技股份有限公司,湘潭电化集团有限公司
内蒙古霍林河露天煤业股份有限公司,中电投蒙东能源集团有限责任公司
郑晓东,利欧集团股份有限公司
郑晓东,利欧集团股份有限公司
郑晓东,利欧集团股份有限公司
郑晓东,利欧集团股份有限公司
北京赢销通软件技术有限公司,深圳市麦达数字股份有限公司
北京赢销通软件技术有限公司,深圳市麦达数字股份有限公司
乔昕,深圳市麦达数字股份有限公司
肖文革,印纪娱乐传媒股份有限公司
宏达高科控股股份有限公司,宏达控股集团有限公司
宏达高科控股股份有限公司,宏达控股集团有限公司
荣盛控股股份有限公司,荣盛房地产发展股份有限公司
广州广电运通金融电子股份有限公司,广州无线电集团有限公司
报喜鸟控股股份有限公司,报喜鸟集团有限公司
武汉三特索道集团股份有限公司,天风证券股份有限公司
武汉三特索道集团股份有限公司,神农架三特物业开发管理有限公司
武汉晟道创业投资基金管理有限公司,武汉三特索道集团股份有限公司
远望谷,顾清
顾清,深圳市远望谷信息技术股份有限公司
顾清,远望谷
顾清,远望谷
江苏宝源投资管理有限公司,红宝丽集团股份有限公司
江苏宝源投资管理有限公司,红宝丽集团股份有限公司
吕晓义,深圳市惠程电气股份有限公司
吕晓义,深圳市惠程电气股份有限公司
吕晓义,深圳市惠程电气股份有限公司
澳洋科技,朱宝元
创新医疗管理股份有限公司,上海康瀚投资管理中心（有限合伙）
创新医疗管理股份有限公司,上海康瀚投资管理中心（有限合伙）
林奇,游族网络股份有限公司
崔荣,游族网络股份有限公司
纳思达股份有限公司,APEX LEADER LIMITED
深圳市劲嘉创业投资有限公司,深圳劲嘉集团股份有限公司
新疆金风科技股份有限公司,新疆新能源(集团)有限责任公司
浙江海利得新材料股份有限公司,高利民
高王伟,浙江海利得新材料股份有限公司
新疆准东石油技术股份有限公司,新疆融汇湘疆创业投资有限合伙企业
广州达意隆包装机械股份有限公司,广州一道注塑机械股份有限公司
广州达意隆包装机械股份有限公司,广州一道注塑机械有限公司
广州华新达投资管理有限公司,广州达意隆包装机械股份有限公司
